type;traits;random_effect;estimate;STD_ERR_estimate;model_name;data_subset_number;used_seed;trait_combination
ratio;caa;residual;0.26081;0.019575;;Sample_1;no_used_seed;CacCaa
covariance;cac+caa;residual;---;---;;Sample_1;no_used_seed;CacCaa
covariance;cac+caa;animal;0.01520;0.005221;;Sample_1;no_used_seed;CacCaa
genetic_correlation;cac+caa;animal;0.25183;0.085193;;Sample_1;no_used_seed;CacCaa
variance;cac;herdyear;0.01281;0.000740;;Sample_1;no_used_seed;CacCaa
covariance;cac+caa;herdyear;0.00092;0.001490;;Sample_1;no_used_seed;CacCaa
heritability;caa;animal;0.31895;0.026249;;Sample_1;no_used_seed;CacCaa
ratio;caa;herdyear;0.42024;0.015139;;Sample_1;no_used_seed;CacCaa
variance;cac;residual;0.02707;0.001140;;Sample_1;no_used_seed;CacCaa
heritability;cac;animal;0.23101;0.026163;;Sample_1;no_used_seed;CacCaa
variance;caa;residual;0.24855;0.017569;;Sample_1;no_used_seed;CacCaa
ratio;cac;herdyear;0.24701;0.012022;;Sample_1;no_used_seed;CacCaa
variance;caa;herdyear;0.40048;0.020635;;Sample_1;no_used_seed;CacCaa
correlation;cac+caa;residual;---;---;;Sample_1;no_used_seed;CacCaa
variance;caa;animal;0.30395;0.025083;;Sample_1;no_used_seed;CacCaa
ratio;cac;residual;0.52199;0.023825;;Sample_1;no_used_seed;CacCaa
variance;cac;animal;0.01198;0.001400;;Sample_1;no_used_seed;CacCaa
correlation;cac+caa;herdyear;0.01281;0.020774;;Sample_1;no_used_seed;CacCaa
variance;cac;herdyear;0.012842;0.6999E-03;;Sample_1;no_used_seed;CacCcc
variance;ccc;herdyear;0.047751;0.6716E-02;;Sample_1;no_used_seed;CacCcc
covariance;ccc+cac;herdyear;-0.007242;0.1647E-02;;Sample_1;no_used_seed;CacCcc
genetic_correlation;ccc+cac;animal;-0.36681;0.058451;;Sample_1;no_used_seed;CacCcc
correlation;ccc+cac;residual;-0.03602;0.040280;;Sample_1;no_used_seed;CacCcc
ratio;ccc;residual;0.34624;0.029258;;Sample_1;no_used_seed;CacCcc
ratio;cac;herdyear;0.24781;0.011161;;Sample_1;no_used_seed;CacCcc
variance;ccc;animal;0.59946;0.036723;;Sample_1;no_used_seed;CacCcc
covariance;ccc+cac;animal;-0.03071;0.005422;;Sample_1;no_used_seed;CacCcc
variance;ccc;residual;0.34278;0.025900;;Sample_1;no_used_seed;CacCcc
variance;cac;animal;0.01170;0.001343;;Sample_1;no_used_seed;CacCcc
covariance;ccc+cac;residual;-0.00348;0.003940;;Sample_1;no_used_seed;CacCcc
variance;cac;residual;0.02729;0.001179;;Sample_1;no_used_seed;CacCcc
correlation;ccc+cac;herdyear;-0.29244;0.060218;;Sample_1;no_used_seed;CacCcc
heritability;cac;animal;0.22567;0.025346;;Sample_1;no_used_seed;CacCcc
ratio;cac;residual;0.52651;0.023552;;Sample_1;no_used_seed;CacCcc
heritability;ccc;animal;0.60552;0.030517;;Sample_1;no_used_seed;CacCcc
ratio;ccc;herdyear;0.04823;0.006686;;Sample_1;no_used_seed;CacCcc
covariance;cca+cac;residual;---;---;;Sample_1;no_used_seed;CacCca
variance;cca;residual;0.17887;0.022583;;Sample_1;no_used_seed;CacCca
correlation;cca+cac;residual;---;---;;Sample_1;no_used_seed;CacCca
variance;cac;animal;0.01177;0.000837;;Sample_1;no_used_seed;CacCca
ratio;cca;herdyear;0.05097;0.007977;;Sample_1;no_used_seed;CacCca
variance;cac;residual;0.02722;0.000816;;Sample_1;no_used_seed;CacCca
variance;cca;herdyear;0.043825;0.6898E-02;;Sample_1;no_used_seed;CacCca
heritability;cca;animal;0.74100;0.030478;;Sample_1;no_used_seed;CacCca
genetic_correlation;cca+cac;animal;-0.27103;0.064255;;Sample_1;no_used_seed;CacCca
ratio;cac;residual;0.52533;0.015653;;Sample_1;no_used_seed;CacCca
ratio;cca;residual;0.20803;0.028395;;Sample_1;no_used_seed;CacCca
variance;cac;herdyear;0.012825;0.7358E-03;;Sample_1;no_used_seed;CacCca
correlation;cca+cac;herdyear;-0.21344;0.083290;;Sample_1;no_used_seed;CacCca
ratio;cac;herdyear;0.24753;0.011484;;Sample_1;no_used_seed;CacCca
covariance;cca+cac;herdyear;-0.005060;0.2014E-02;;Sample_1;no_used_seed;CacCca
variance;cca;animal;0.63715;0.033944;;Sample_1;no_used_seed;CacCca
covariance;cca+cac;animal;-0.02347;0.004984;;Sample_1;no_used_seed;CacCca
heritability;cac;animal;0.22714;0.016074;;Sample_1;no_used_seed;CacCca
covariance;cfc+cac;residual;-0.01360;0.2291E-02;;Sample_1;no_used_seed;CacCfc
variance;cfc;herdyear;0.027142;0.3030E-02;;Sample_1;no_used_seed;CacCfc
ratio;cac;residual;0.52280;0.016447;;Sample_1;no_used_seed;CacCfc
ratio;cac;herdyear;0.24741;0.011274;;Sample_1;no_used_seed;CacCfc
heritability;cac;animal;0.22979;0.017303;;Sample_1;no_used_seed;CacCfc
heritability;cfc;animal;0.24693;0.022969;;Sample_1;no_used_seed;CacCfc
ratio;cfc;herdyear;0.06966;0.007629;;Sample_1;no_used_seed;CacCfc
covariance;cfc+cac;herdyear;-0.008235;0.1138E-02;;Sample_1;no_used_seed;CacCfc
variance;cac;herdyear;0.012829;0.7123E-03;;Sample_1;no_used_seed;CacCfc
correlation;cfc+cac;herdyear;-0.44130;0.050287;;Sample_1;no_used_seed;CacCfc
variance;cfc;animal;0.096218;0.9410E-02;;Sample_1;no_used_seed;CacCfc
ratio;cfc;residual;0.68341;0.022505;;Sample_1;no_used_seed;CacCfc
correlation;cfc+cac;residual;-0.16004;0.025762;;Sample_1;no_used_seed;CacCfc
variance;cac;residual;0.02711;0.8267E-03;;Sample_1;no_used_seed;CacCfc
